date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:10	8080/8080	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2017:24:09%20GMT	https://bnbrewardplanet.com/robots.txt		(from )
18:24:10	39537/39537	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2017:24:09%20GMT	https://bnbrewardplanet.com/	C:/My%20Web%20Sites/bank%20bnb/bnbrewardplanet.com/index.html	(from )
18:24:10	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%221b2d5b922bd3e62ea0d13123d215706f%22	https://bnbrewardplanet.com/favicon.ico	C:/My%20Web%20Sites/bank%20bnb/bnbrewardplanet.com/favicon.ico	(from https://bnbrewardplanet.com/)
18:24:10	92629/92629	---MCZ	200	added ('OK')	text/javascript	etag:W/%2269e4e91805f5a6478cc3403b9229be39%22	https://bnbrewardplanet.com/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/bank%20bnb/bnbrewardplanet.com/js/jquery-1.9.1.min.js	(from https://bnbrewardplanet.com/)
18:24:10	25110/25110	---MCZ	200	added ('OK')	text/javascript	etag:W/%22408afe6e828a9074f7b190f4d3cde4a4%22	https://bnbrewardplanet.com/css/5grid/init.js?use=mobile,desktop,1000px&mobileUI=1&mobileUI.theme=none&mobileUI.titleBarHeight=0	C:/My%20Web%20Sites/bank%20bnb/bnbrewardplanet.com/css/5grid/init2516.js	(from https://bnbrewardplanet.com/)
18:24:11	10393/10393	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b7338a110d63519ee4cb967bba19eadb%22	https://bnbrewardplanet.com/js/jquery.dropotron-1.2.js	C:/My%20Web%20Sites/bank%20bnb/bnbrewardplanet.com/js/jquery.dropotron-1.2.js	(from https://bnbrewardplanet.com/)
18:24:11	3569/3569	---MCZ	200	added ('OK')	text/javascript	etag:W/%220a20e0dec2208e642d4c8a2ed7d3fb7a%22	https://bnbrewardplanet.com/js/init.js	C:/My%20Web%20Sites/bank%20bnb/bnbrewardplanet.com/js/init.js	(from https://bnbrewardplanet.com/)
18:24:11	6062/6062	---MCZ	200	added ('OK')	text/css	etag:W/%225e8188b3018c5b413470e83849eee032%22	https://bnbrewardplanet.com/css/5grid/core.css	C:/My%20Web%20Sites/bank%20bnb/bnbrewardplanet.com/css/5grid/core.css	(from https://bnbrewardplanet.com/)
18:24:11	1903/1903	---MCZ	200	added ('OK')	text/css	etag:W/%2277a52f1c70d8306bc86e362c2b45d414%22	https://bnbrewardplanet.com/css/5grid/core-desktop.css	C:/My%20Web%20Sites/bank%20bnb/bnbrewardplanet.com/css/5grid/core-desktop.css	(from https://bnbrewardplanet.com/)
18:24:11	415/415	---MCZ	200	added ('OK')	text/css	etag:W/%227278201a0d46136f819b2ee4410761a3%22	https://bnbrewardplanet.com/css/5grid/core-1200px.css	C:/My%20Web%20Sites/bank%20bnb/bnbrewardplanet.com/css/5grid/core-1200px.css	(from https://bnbrewardplanet.com/)
18:24:12	3245/3245	---MCZ	200	added ('OK')	text/css	etag:W/%22f1191b70b4d2ea72115ddc9cf3d6ebb5%22	https://bnbrewardplanet.com/css/5grid/core-noscript.css	C:/My%20Web%20Sites/bank%20bnb/bnbrewardplanet.com/css/5grid/core-noscript.css	(from https://bnbrewardplanet.com/)
18:24:12	61106/61106	---MCZ	200	added ('OK')	text/css	etag:W/%22405690f4506c2008c587f2d7da1ba9fc%22	https://bnbrewardplanet.com/css/style.css	C:/My%20Web%20Sites/bank%20bnb/bnbrewardplanet.com/css/style.css	(from https://bnbrewardplanet.com/)
